EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
222757367,EDUCATION FUND OF FAMILY PLANNING ADVOCATES OF NEW YORK STA,NA,194 WASHINGTON AVE STE 620,ALBANY,NY,12210-2314,0000,03,3,2000,198702,1,17,123124000,5,01,202112,3,3,02,0,12,84801,30200,30200,E42P,NA
201330039,BLUE SUNDAY CHILD ABUSE INITIATIVE,% JANET MAGEE,PO BOX 730,PORT ISABEL,TX,78578-0730,0000,03,3,1000,200410,1,15,000000000,1,01,202112,4,6,01,0,12,141499,1655908,147636,I72,NA
260714316,MAPLE LAWN CEMETERY COMPANY,% HOMER GFELLERS,350 W JACKSON BLVD,JONESBOROUGH,TN,37659-1124,0000,13,3,1000,200802,1,00,000000000,1,01,202112,3,3,02,0,12,86003,33447,9566,Y50,NA
636065811,SHELBY COUNTY FARMERS FEDERATION,NA,PO BOX 94,COLUMBIANA,AL,35051-0094,0000,05,3,1000,196805,2,00,230000000,1,01,202206,5,4,01,0,06,505999,139251,139251,NA,NA
202353144,BROCK HUGHES FREE CLINIC INC,NA,450 W MONROE ST,WYTHEVILLE,VA,24382-2236,0000,03,3,1000,200505,1,15,000000000,1,01,202109,6,6,01,0,09,1506880,1030945,1025793,NA,BROCK HUGHES MEDICAL CENTER
510137625,AURORA CHRISTIAN SCHOOLS,NA,2255 SULLIVAN RD,AURORA,IL,60506-6206,0000,03,3,1200,197506,1,11,030000000,1,01,202106,8,7,01,0,06,22452696,5985180,5930899,B24Z,NA
581403651,HINESVILLE AREA BOARD OF REALTORS INC,NA,111 RYON AVE STE C,HINESVILLE,GA,31313-3649,0000,06,3,4000,200105,2,00,000000000,1,01,202112,4,4,01,0,12,339313,222332,222332,S47,NA
942838374,SAN RAFAEL PUBLIC EDUCATION FOUNDATION,% SUALEN MURPHY,PO BOX 150157,SAN RAFAEL,CA,94915-0157,0000,03,3,1200,198211,1,15,059000000,1,01,202206,4,4,01,0,06,260780,391891,391891,NA,NA
474344763,SDCO SFS LOGISTICS CENTER INC,% JESSICA HAMILL,222 SOUTH RIVERSIDE PLAZA 34TH FLR,CHICAGO,IL,60606-6886,0000,25,3,1000,201608,2,00,000000000,1,01,202112,9,7,01,0,12,145459378,6525972,6525972,S47,NA
260780692,ELKS NATIONAL HOME AND RETIREMENTCENTER,% BRYAN R KLATT,2750 N LAKEVIEW AVE,CHICAGO,IL,60614-2256,0000,03,3,1000,200804,1,15,000000000,1,01,202205,5,4,01,0,05,879950,230521,230521,L22,ELKS NATIONAL HOME
